"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","10","11",201810,3,148306690.953855
"2018","10","12",201810,2,16236828.7989224
"2018","10","13",201810,2,74651729.5579842
"2018","10","14",201810,4,143593826.87561
"2018","10","15",201810,2,36929134.047
"2018","10","16",201810,3,71719317.506774
"2018","10","17",201810,3,93633881.9568241
"2018","10","18",201810,4,201121664.636748
"2018","10","19",201810,1,2244072.093408
"2018","10","20",201810,4,107218148.168142
"2018","10","21",201810,3,148953163.684904
"2018","10","22",201810,2,3016225.932
"2018","10","23",201810,2,39323542.884128
"2018","10","24",201810,1,7709039.14565779
"2018","10","27",201810,4,59791149.354358
"2018","10","28",201810,2,9796700.82172736
"2018","10","29",201810,2,53626486.253672
"2018","10","30",201810,1,33206912.1760005
"2018","10","31",201810,1,7397614.82358744
"2018","11","01",201811,1,11849602.48
"2018","11","02",201811,1,0
"2018","11","03",201811,2,103203008.1756
"2018","11","04",201811,4,128841385.518398
"2018","11","05",201811,1,48387914.9919068
"2018","11","06",201811,2,47411966.6686
"2018","11","07",201811,2,1683549.3438072
"2018","11","08",201811,3,36987415.4585096
"2018","11","09",201811,5,45065644.9572
"2018","11","10",201811,1,0
"2018","11","11",201811,1,468712.0303
"2018","11","12",201811,1,2830606.9311288
"2018","11","13",201811,1,0
"2018","11","14",201811,1,27129564.4576
"2018","11","15",201811,3,20097369.6640712
"2018","11","16",201811,4,65010333.49752
"2018","11","17",201811,2,3229518.7776
"2018","11","18",201811,1,26127871.3666
"2018","11","19",201811,6,15875263.913716
"2018","11","20",201811,1,0
"2018","11","21",201811,2,29994064.2644324
"2018","11","22",201811,5,180998784.584643
"2018","11","23",201811,3,115901907.816671
"2018","11","24",201811,1,0
"2018","11","25",201811,2,43555824.8446
"2018","11","26",201811,4,74482253.9918956
"2018","11","27",201811,2,8544905.0040896
"2018","11","28",201811,6,85293149.4404032
"2018","11","29",201811,4,48041171.5224556
"2018","11","30",201811,4,65282415.4335148
"2018","12","01",201812,2,13709496.473
"2018","12","02",201812,3,8003917.934
"2018","12","03",201812,3,144898183.367
"2018","12","04",201812,2,27076179.582
"2018","12","05",201812,3,45247319.952
"2018","12","06",201812,2,52054897.6
"2018","12","07",201812,4,84194190.089
"2018","12","08",201812,1,3386126.997
"2018","12","09",201812,2,59439384.8
"2018","12","10",201812,1,34829175
"2018","12","11",201812,3,11302351.638
"2018","12","12",201812,3,124630245.419
"2018","12","13",201812,2,44399040.726
"2018","12","14",201812,3,24398837.58
"2018","12","15",201812,3,16713012.069
"2018","12","16",201812,3,68438205.515
"2018","12","17",201812,2,96095296.619
"2018","12","18",201812,2,130891500
"2018","12","19",201812,3,19527396.97
"2018","12","20",201812,4,90207275.389
"2018","12","21",201812,2,33756616.95
"2018","12","22",201812,1,17213095.833
"2018","12","23",201812,4,85944424.086
"2018","12","24",201812,3,7727914.4
"2018","12","26",201812,2,55348306.274
"2018","12","27",201812,1,29055518.839
"2018","12","28",201812,1,1058900.199
"2018","12","31",201812,1,3449517.6
