"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"319",2018-11-15,140248,254267168919.459,17007.2931506849
"320",2018-11-16,140299,254283697206.15,16652.2794520548
"321",2018-11-17,140253,254148373750.361,16285.901369863
"322",2018-11-18,140136,253880210365.25,15909.4410958904
"323",2018-11-19,140191,253882905520.886,15545.2657534247
"324",2018-11-20,140245,253930241961.799,15179.9315068493
"325",2018-11-21,140286,253965205761.631,14815.5424657534
"326",2018-11-22,140249,253896243460.162,14449.1616438356
"327",2018-11-23,140321,253881594684.679,14091.8630136986
"328",2018-11-24,140033,253476398212.406,13721.1205479452
"329",2018-11-25,139920,253211156329.673,13344.1643835616
"330",2018-11-26,139967,253215287188.754,12979.4328767123
"331",2018-11-27,139980,253249004631.181,12614.9123287671
"332",2018-11-28,140141,253476512137.767,12259.0054794521
"333",2018-11-29,140185,253411522525.313,11900.9890410959
"334",2018-11-30,140614,253954629136.618,11573.9726027397
"335",2018-12-01,140630,253818870310.092,11237.4739726027
"336",2018-12-02,139373,251674618931.227,10860.6438356164
"337",2018-12-03,139416,251701468959.583,10493.0630136986
"338",2018-12-04,139508,251821752826.429,10127.6520547945
"339",2018-12-05,139642,251981812895.147,9765.3397260274
"340",2018-12-06,139735,252045154796.19,9400.81095890411
"341",2018-12-07,139846,252153327096.774,9035.82191780822
"342",2018-12-08,139744,251906555444.016,8658.22191780822
"343",2018-12-09,139606,251752140190.854,8279.7095890411
"344",2018-12-10,139675,251771781757.229,7909.63561643836
"345",2018-12-11,139805,251934670014.258,7540.53150684932
"346",2018-12-12,139871,252014219538.687,7168.87945205479
"347",2018-12-13,139972,252103535681.542,6798.87945205479
"348",2018-12-14,140087,252226167710.947,6429.82465753425
"349",2018-12-15,140018,251997331894.613,6052.22465753425
"350",2018-12-16,139936,251741956533.365,5674.32054794521
"351",2018-12-17,139979,251725401688.863,5300.09863013699
"352",2018-12-18,140138,251894262784.426,4927.2
"353",2018-12-19,140243,251979435740.625,4553.19452054795
"354",2018-12-20,140411,252159678100.089,4180.83835616438
"355",2018-12-21,140555,252310283393.982,3806.72602739726
"356",2018-12-22,140075,251592827338.882,3427.75342465753
"357",2018-12-23,139919,251211378011.146,3046.55890410959
"358",2018-12-24,140092,251357244457.52,2670.35342465753
"359",2018-12-25,139804,250902440480.437,2287.46301369863
"360",2018-12-26,140201,251504158545.193,1910.1095890411
"361",2018-12-27,140333,251606387626.014,1530.74520547945
"362",2018-12-28,140604,251912678957.496,1151.28219178082
"363",2018-12-29,140454,251503939680.617,767.791780821918
"364",2018-12-30,140318,251164366290.164,384
"365",2018-12-31,140304,251073924009.612,0
